rental_id,rent_code,rental_date,return_date,customer_id,film_id
2,2-333-FREAKY POCUS,2005-05-24,2005-05-28,459,333
1449,2-333-FREAKY POCUS,2005-06-15,2005-06-18,471,333
5499,2-333-FREAKY POCUS,2005-07-10,2005-07-17,127,333
9711,2-333-FREAKY POCUS,2005-07-31,2005-08-02,231,333
13031,2-333-FREAKY POCUS,2005-08-19,2005-08-23,567,333
769,1-333-FREAKY POCUS,2005-05-29,2005-06-01,575,333
2060,1-333-FREAKY POCUS,2005-06-17,2005-06-22,64,333
5270,1-333-FREAKY POCUS,2005-07-09,2005-07-13,128,333
7208,1-333-FREAKY POCUS,2005-07-27,2005-07-28,138,333
14380,1-333-FREAKY POCUS,2005-08-21,2005-08-25,198,333
2303,2-333-FREAKY POCUS,2005-06-18,2005-06-22,329,333
5870,2-333-FREAKY POCUS,2005-07-10,2005-07-12,438,333
9026,2-333-FREAKY POCUS,2005-07-30,2005-08-01,423,333
11841,2-333-FREAKY POCUS,2005-08-17,2005-08-21,270,333
4322,1-333-FREAKY POCUS,2005-07-07,2005-07-14,568,333
9493,1-333-FREAKY POCUS,2005-07-30,2005-08-08,5,333
15275,1-333-FREAKY POCUS,2005-08-22,2005-08-23,597,333
3,2-373-GRADUATE LORD,2005-05-24,2005-06-01,408,373
2067,2-373-GRADUATE LORD,2005-06-17,2005-06-22,297,373
3790,2-373-GRADUATE LORD,2005-07-06,2005-07-14,10,373
7022,2-373-GRADUATE LORD,2005-07-27,2005-07-29,243,373
11924,2-373-GRADUATE LORD,2005-08-17,2005-08-26,202,373
1105,1-373-GRADUATE LORD,2005-05-31,2005-06-07,26,373
1585,1-373-GRADUATE LORD,2005-06-16,2005-06-24,386,373
6826,1-373-GRADUATE LORD,2005-07-12,2005-07-16,408,373
8306,1-373-GRADUATE LORD,2005-07-29,2005-08-01,232,373
12875,1-373-GRADUATE LORD,2005-08-19,2005-08-26,483,373
7034,2-373-GRADUATE LORD,2005-07-27,2005-07-28,281,373
14297,2-373-GRADUATE LORD,2005-08-21,2005-08-25,566,373
7828,1-373-GRADUATE LORD,2005-07-28,2005-07-30,212,373
14958,1-373-GRADUATE LORD,2005-08-22,2005-08-28,347,373
10120,1-373-GRADUATE LORD,2005-07-31,2005-08-03,396,373
